date,book,chapter,words
2026-06-01,claude-agentic-ai,00-the-agent-arrives-in-ordinary-work,2637
2026-06-01,claude-agentic-ai,01-chatbot-assistant-agent,3007
2026-06-01,claude-agentic-ai,02-the-agentic-loop,3717
2026-06-01,claude-agentic-ai,03-tools-permissions-and-the-action-surface,2607
2026-06-01,claude-agentic-ai,04-claude-code-as-agentic-engineering,2373
2026-06-01,claude-agentic-ai,05-claude-cowork-as-agentic-knowledge-work,3082
2026-06-01,claude-agentic-ai,06-mcp-and-external-capabilities,2669
2026-06-01,claude-agentic-ai,07-planning-before-acting,2977
2026-06-01,claude-agentic-ai,08-verification-is-the-control-system,3394
2026-06-01,claude-agentic-ai,09-failure-modes-of-agentic-work,3748
2026-06-01,claude-agentic-ai,10-designing-human-approval-gates,3501
2026-06-01,claude-agentic-ai,11-agentic-ai-in-teams-and-organizations,3304
2026-06-01,claude-agentic-ai,12-capstone-the-supervised-agentic-project,3454
